Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
15-11-2023_18-18-58,0,0.099,2.625,2.977,38.767,25.281,24.325,22.973,-0.581,0.0,0.0
15-11-2023_18-19-03,4,0.099,2.624,2.98,38.724,25.31,24.352,22.987,105.81,0.0,255.0
15-11-2023_18-19-08,9,0.099,2.625,2.98,38.727,25.311,24.383,23.26,104.534,0.0,255.0
15-11-2023_18-19-13,15,0.099,2.624,2.979,38.684,25.332,24.407,23.801,103.666,0.0,255.0
15-11-2023_18-19-18,20,0.099,2.625,2.977,38.696,25.348,24.444,24.523,102.981,0.0,255.0
15-11-2023_18-19-23,25,0.099,2.623,2.978,38.685,25.347,24.44,25.419,102.413,0.0,255.0
15-11-2023_18-19-28,30,0.099,2.62,2.977,38.673,25.356,24.46,26.385,101.912,0.0,255.0
15-11-2023_18-19-33,35,0.099,2.616,2.976,38.641,25.382,24.47,27.387,101.403,0.0,255.0
15-11-2023_18-19-38,40,0.099,2.616,2.977,38.645,25.381,24.492,28.483,100.996,0.0,255.0
15-11-2023_18-19-43,45,0.099,2.618,2.976,38.577,25.399,24.496,29.734,100.58,0.0,255.0
15-11-2023_18-19-48,50,0.099,2.619,2.978,38.665,25.393,24.5,30.891,100.234,0.0,255.0
15-11-2023_18-19-53,55,0.099,2.624,2.976,38.638,25.384,24.47,31.969,99.925,0.0,255.0
15-11-2023_18-19-58,60,0.099,2.621,2.976,38.625,25.381,24.459,33.111,99.612,0.0,255.0
15-11-2023_18-20-03,65,0.099,2.619,2.974,38.624,25.37,24.432,34.171,99.331,0.0,255.0
15-11-2023_18-20-08,70,0.099,2.619,2.974,38.608,25.369,24.424,35.277,99.063,0.0,255.0
15-11-2023_18-20-13,75,0.099,2.62,2.973,38.59,25.365,24.42,36.366,98.778,0.0,255.0
15-11-2023_18-20-18,80,0.099,2.621,2.972,38.61,25.33,24.412,37.397,98.522,0.0,255.0
15-11-2023_18-20-23,85,0.099,2.617,2.973,38.595,25.324,24.385,38.371,98.286,0.0,255.0
15-11-2023_18-20-28,90,0.099,2.616,2.973,38.57,25.318,24.38,39.284,98.124,0.0,255.0
15-11-2023_18-20-33,95,0.099,2.616,2.973,38.611,25.339,24.415,40.105,97.907,0.0,255.0
15-11-2023_18-20-38,100,0.099,2.617,2.973,38.606,25.381,24.477,41.163,97.703,0.0,255.0
15-11-2023_18-20-43,105,0.099,2.617,2.973,38.593,25.411,24.504,42.304,97.55,0.0,255.0
15-11-2023_18-20-48,110,0.099,2.619,2.971,38.638,25.412,24.52,43.503,97.373,0.0,255.0
15-11-2023_18-20-53,115,0.099,2.619,2.971,38.647,25.411,24.517,44.654,97.206,0.0,255.0
15-11-2023_18-20-58,120,0.099,2.624,2.971,38.658,25.435,24.524,45.685,97.009,0.0,255.0
15-11-2023_18-21-03,125,0.099,2.626,2.97,38.629,25.456,24.53,46.63,96.802,0.0,255.0
15-11-2023_18-21-08,130,0.099,2.63,2.97,38.669,25.463,24.538,47.81,96.671,0.0,255.0
15-11-2023_18-21-13,135,0.099,2.624,2.971,38.676,25.476,24.552,48.79,96.552,0.0,255.0
15-11-2023_18-21-18,140,0.099,2.625,2.97,38.698,25.529,24.591,49.28,96.405,0.0,255.0
15-11-2023_18-21-23,145,0.099,2.625,2.969,38.644,25.555,24.632,49.898,96.254,0.0,255.0
15-11-2023_18-21-28,150,0.099,2.624,2.97,38.707,25.592,24.686,51.004,96.178,0.0,255.0
15-11-2023_18-21-33,155,0.099,2.625,2.97,38.739,25.618,24.735,51.443,96.059,0.0,255.0
15-11-2023_18-21-38,160,0.099,2.632,2.969,38.714,25.66,24.789,52.343,95.886,0.0,255.0
15-11-2023_18-21-43,165,0.099,2.629,2.968,38.733,25.663,24.758,53.5,95.804,0.0,255.0
15-11-2023_18-21-48,170,0.099,2.631,2.97,38.778,25.692,24.794,54.639,95.71,0.0,255.0
15-11-2023_18-21-54,175,0.099,2.63,2.967,38.81,25.699,24.782,55.525,95.605,0.0,255.0
