Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
30-11-2023_16-04-19,0,0.111,0.309,2.704,50.912,25.263,25.021,44.262,-0.387,0.0,0.0
30-11-2023_16-04-24,4,0.111,0.309,2.704,50.872,25.208,25.029,43.747,-0.359,0.0,0.0
30-11-2023_16-04-29,9,0.111,0.309,2.705,50.884,25.169,25.044,43.274,-0.394,0.0,0.0
30-11-2023_16-04-34,14,0.111,0.309,2.704,50.938,25.119,25.062,42.86,-0.361,0.0,0.0
30-11-2023_16-04-39,19,0.111,0.309,2.706,50.89,25.099,25.095,42.457,-0.379,0.0,0.0
30-11-2023_16-04-44,24,0.111,0.309,2.707,50.705,25.106,25.094,42.025,-0.433,0.0,0.0
30-11-2023_16-04-49,29,0.111,0.309,2.706,50.591,25.1,25.104,41.548,-0.428,0.0,0.0
30-11-2023_16-04-54,34,0.111,0.309,2.705,50.507,25.12,25.074,41.099,-0.409,0.0,0.0
30-11-2023_16-04-59,39,0.111,0.309,2.706,50.439,25.156,25.088,40.729,-0.418,0.0,0.0
30-11-2023_16-05-04,44,0.111,0.309,2.707,50.442,25.169,25.075,40.367,-0.39,0.0,0.0
30-11-2023_16-05-09,49,0.111,0.309,2.706,50.408,25.19,25.091,40.042,-0.389,0.0,0.0
30-11-2023_16-05-14,54,0.111,0.309,2.707,50.404,25.217,25.096,39.733,-0.397,0.0,0.0
30-11-2023_16-05-19,59,0.111,0.309,2.706,50.394,25.25,25.075,39.426,-0.419,0.0,0.0
30-11-2023_16-05-24,64,0.111,0.309,2.706,50.51,25.249,25.053,39.128,-0.389,0.0,0.0
30-11-2023_16-05-29,69,0.111,0.309,2.706,50.361,25.232,25.076,38.823,-0.4,0.0,0.0
30-11-2023_16-05-34,74,0.111,0.315,2.706,50.083,25.185,25.072,38.523,-0.371,0.0,0.0
30-11-2023_16-05-39,80,0.111,0.324,2.704,49.768,25.127,25.083,38.208,6.444,0.0,14.56
30-11-2023_16-05-44,85,0.112,0.332,2.702,49.4,25.042,25.071,37.902,14.206,0.0,39.67
30-11-2023_16-05-49,90,0.111,0.338,2.701,49.194,24.998,25.044,37.6,19.05,0.0,56.81
30-11-2023_16-05-54,95,0.111,0.343,2.698,49.157,24.934,25.002,37.363,25.384,0.0,65.18
30-11-2023_16-05-59,100,0.111,0.347,2.698,48.884,24.855,25.023,37.248,34.0,0.0,88.95
30-11-2023_16-06-04,105,0.111,0.35,2.698,48.984,24.758,25.012,37.298,38.054,0.0,90.84
30-11-2023_16-06-09,110,0.111,0.352,2.696,48.791,24.702,25.013,37.451,41.904,0.0,111.36
30-11-2023_16-06-14,115,0.111,0.353,2.697,48.852,24.673,25.043,37.697,48.137,0.0,116.37
30-11-2023_16-06-19,120,0.111,0.354,2.695,48.781,24.582,25.007,38.024,51.417,0.0,129.9
30-11-2023_16-06-24,125,0.111,0.354,2.696,48.794,24.521,25.015,38.393,55.556,0.0,138.44
30-11-2023_16-06-29,130,0.111,0.355,2.695,48.687,24.528,24.926,38.832,59.8,0.0,154.56
30-11-2023_16-06-34,135,0.111,0.355,2.695,48.659,24.516,24.956,39.409,61.757,0.0,166.16
30-11-2023_16-06-39,140,0.111,0.355,2.695,48.634,24.491,24.971,40.026,68.661,0.0,177.57
