Date,Time,T_heater,T_liquid,PWM
09-11-2023_17-18-22,0.005833333333333334,24.75,24.56,0
09-11-2023_17-18-22,0.005833333333333334,24.75,24.56,0
09-11-2023_17-18-22,0.006111111111111111,24.76,24.56,0
09-11-2023_17-18-23,0.006111111111111111,24.75,24.55,0
09-11-2023_17-18-23,0.006111111111111111,24.76,24.56,0
09-11-2023_17-18-23,0.006111111111111111,24.76,24.56,0
09-11-2023_17-18-23,0.006388888888888889,24.75,24.56,0
09-11-2023_17-18-24,0.006388888888888889,24.75,24.57,0
09-11-2023_17-18-24,0.006388888888888889,24.75,24.57,0
09-11-2023_17-18-24,0.006388888888888889,24.75,24.57,0
09-11-2023_17-18-24,0.006666666666666667,24.75,24.58,0
09-11-2023_17-18-25,0.006666666666666667,24.75,24.58,0
09-11-2023_17-18-25,0.006666666666666667,24.75,24.58,0
09-11-2023_17-18-25,0.006666666666666667,24.75,24.58,0
09-11-2023_17-18-25,0.006944444444444444,24.75,24.58,0
09-11-2023_17-18-26,0.006944444444444444,24.75,24.57,0
09-11-2023_17-18-26,0.006944444444444444,24.75,24.57,0
09-11-2023_17-18-26,0.006944444444444444,24.74,24.57,0
09-11-2023_17-18-26,0.007222222222222222,24.75,24.55,0
09-11-2023_17-18-27,0.007222222222222222,24.75,24.56,0
09-11-2023_17-18-27,0.007222222222222222,24.75,24.56,0
09-11-2023_17-18-27,0.007222222222222222,24.75,24.55,0
09-11-2023_17-18-27,0.0075,24.75,24.55,0
09-11-2023_17-18-28,0.0075,24.75,24.56,0
09-11-2023_17-18-28,0.0075,24.75,24.56,0
09-11-2023_17-18-28,0.0075,24.75,24.56,0
09-11-2023_17-18-28,0.0077777777777777776,24.75,24.55,0
09-11-2023_17-18-29,0.0077777777777777776,24.75,24.55,0
09-11-2023_17-18-29,0.0077777777777777776,24.75,24.56,0
09-11-2023_17-18-29,0.0077777777777777776,24.75,24.56,0
09-11-2023_17-18-29,0.008055555555555555,24.75,24.56,0
09-11-2023_17-18-30,0.008055555555555555,24.75,24.56,0
09-11-2023_17-18-30,0.008055555555555555,24.75,24.57,0
09-11-2023_17-18-30,0.008055555555555555,24.75,24.57,0
09-11-2023_17-18-30,0.008333333333333333,24.75,24.56,0
09-11-2023_17-18-31,0.008333333333333333,24.75,24.57,0
09-11-2023_17-18-31,0.008333333333333333,24.75,24.57,0
09-11-2023_17-18-31,0.008333333333333333,24.75,24.57,0
09-11-2023_17-18-31,0.008611111111111111,24.75,24.57,0
09-11-2023_17-18-32,0.008611111111111111,24.75,24.57,0
09-11-2023_17-18-32,0.008611111111111111,24.75,24.57,0
09-11-2023_17-18-32,0.008611111111111111,24.75,24.58,0
09-11-2023_17-18-32,0.008888888888888889,24.75,24.58,0
09-11-2023_17-18-33,0.008888888888888889,24.75,24.58,0
09-11-2023_17-18-33,0.008888888888888889,24.75,24.59,0
09-11-2023_17-18-33,0.008888888888888889,24.76,24.59,0
09-11-2023_17-18-33,0.009166666666666667,24.76,24.61,0
09-11-2023_17-18-34,0.009166666666666667,24.76,24.6,0
09-11-2023_17-18-34,0.009166666666666667,24.75,24.61,0
09-11-2023_17-18-34,0.009166666666666667,24.76,24.62,0
09-11-2023_17-18-34,0.009444444444444445,24.76,24.62,0
09-11-2023_17-18-35,0.009444444444444445,24.76,24.62,0
09-11-2023_17-18-35,0.009444444444444445,24.76,24.63,0
09-11-2023_17-18-35,0.009444444444444445,24.77,24.63,0
09-11-2023_17-18-35,0.009722222222222222,24.76,24.63,0
09-11-2023_17-18-36,0.009722222222222222,24.76,24.65,0
09-11-2023_17-18-36,0.009722222222222222,24.76,24.65,0
09-11-2023_17-18-36,0.009722222222222222,24.77,24.66,0
09-11-2023_17-18-36,0.01,24.77,24.67,0
09-11-2023_17-18-37,0.01,24.77,24.67,0
09-11-2023_17-18-37,0.01,24.77,24.68,0
09-11-2023_17-18-37,0.01,24.77,24.68,0
09-11-2023_17-18-37,0.010277777777777778,24.77,24.69,0
09-11-2023_17-18-38,0.010277777777777778,24.77,24.7,0
09-11-2023_17-18-38,0.010277777777777778,24.77,24.71,0
09-11-2023_17-18-38,0.010277777777777778,24.77,24.72,0
09-11-2023_17-18-38,0.010555555555555556,24.77,24.72,0
09-11-2023_17-18-39,0.010555555555555556,24.77,24.73,0
09-11-2023_17-18-39,0.010555555555555556,24.77,24.73,0
09-11-2023_17-18-39,0.010555555555555556,24.77,24.73,0
