Date,Time,T_heater,T_liquid,PWM
09-11-2023_16-30-54,0.005833333333333334,24.48,25.01,0
09-11-2023_16-30-55,0.005833333333333334,24.48,25.01,0
09-11-2023_16-30-55,0.006111111111111111,24.48,25.02,0
09-11-2023_16-30-55,0.006111111111111111,24.48,25.02,0
09-11-2023_16-30-55,0.006111111111111111,24.49,25.02,0
09-11-2023_16-30-56,0.006111111111111111,24.49,25.02,0
09-11-2023_16-30-56,0.006388888888888889,24.49,25.03,0
09-11-2023_16-30-56,0.006388888888888889,24.49,25.02,0
09-11-2023_16-30-56,0.006388888888888889,24.49,25.03,255
09-11-2023_16-30-57,0.006388888888888889,24.49,25.1,255
09-11-2023_16-30-57,0.006666666666666667,24.49,25.1,255
09-11-2023_16-30-57,0.006666666666666667,24.49,25.11,255
09-11-2023_16-30-57,0.006666666666666667,24.49,25.11,255
09-11-2023_16-30-58,0.006666666666666667,24.49,25.11,255
09-11-2023_16-30-58,0.006944444444444444,24.5,25.11,255
09-11-2023_16-30-58,0.006944444444444444,24.49,25.11,255
09-11-2023_16-30-58,0.006944444444444444,24.49,25.11,255
09-11-2023_16-30-59,0.006944444444444444,24.49,25.11,255
09-11-2023_16-30-59,0.007222222222222222,24.5,25.11,255
09-11-2023_16-30-59,0.007222222222222222,24.49,25.11,255
09-11-2023_16-30-59,0.007222222222222222,24.49,25.11,255
09-11-2023_16-31-00,0.007222222222222222,24.49,25.1,255
09-11-2023_16-31-00,0.0075,24.5,25.1,255
09-11-2023_16-31-00,0.0075,24.5,25.1,255
09-11-2023_16-31-00,0.0075,24.5,25.09,255
09-11-2023_16-31-01,0.0075,24.5,25.09,255
09-11-2023_16-31-01,0.0077777777777777776,24.49,25.08,255
09-11-2023_16-31-01,0.0077777777777777776,24.5,25.07,255
09-11-2023_16-31-01,0.0077777777777777776,24.5,25.05,255
09-11-2023_16-31-02,0.0077777777777777776,24.51,25.03,255
09-11-2023_16-31-02,0.008055555555555555,24.51,24.99,255
09-11-2023_16-31-02,0.008055555555555555,24.52,24.96,255
09-11-2023_16-31-02,0.008055555555555555,24.52,24.94,255
09-11-2023_16-31-03,0.008055555555555555,24.52,24.93,255
