Date,Time,Biomass,Dissolved_oxygen,pH,T_heater,T_liquid,T_sensor,T_amb,Power,PWM_feed,PWM_heater
08-01-2024_13-18-03,156,0.031,0.0,-3.511,22.447,22.5,21.951,22.28,-0.074,150.0,0.0
08-01-2024_13-18-03,157,0.031,0.0,-3.511,22.442,22.589,21.935,22.282,-0.039,150.0,0.0
08-01-2024_13-18-03,157,0.031,0.0,-3.511,22.445,22.586,21.944,22.278,-0.077,150.0,0.0
08-01-2024_13-18-04,157,0.031,0.0,-3.511,22.44,22.635,21.933,22.285,-0.068,150.0,0.0
08-01-2024_13-18-04,157,0.031,0.0,-3.511,22.442,22.549,21.95,22.279,-0.066,150.0,0.0
08-01-2024_13-18-04,158,0.031,0.0,-3.511,22.45,22.627,21.951,22.282,-0.103,150.0,0.0
08-01-2024_13-18-04,158,0.031,0.0,-3.511,22.444,22.621,21.955,22.282,-0.064,150.0,0.0
08-01-2024_13-18-05,158,0.031,0.0,-3.511,22.447,22.667,21.978,22.278,-0.068,150.0,0.0
08-01-2024_13-18-05,158,0.031,0.0,-3.511,22.444,22.609,21.947,22.28,-0.068,150.0,0.0
08-01-2024_13-18-05,159,0.031,0.0,-3.511,22.442,22.627,21.964,22.275,-0.059,150.0,0.0
08-01-2024_13-18-05,159,0.031,0.0,-3.511,22.444,22.634,21.958,22.28,-0.081,150.0,0.0
08-01-2024_13-18-06,159,0.031,0.0,-3.511,22.448,22.6,21.947,22.28,-0.076,150.0,0.0
08-01-2024_13-18-06,159,0.031,0.0,-3.511,22.452,22.591,21.963,22.276,-0.08,150.0,0.0
08-01-2024_13-18-06,160,0.031,0.0,-3.511,22.447,22.616,21.977,22.281,-0.056,150.0,0.0
08-01-2024_13-18-06,160,0.031,0.0,-3.511,22.445,22.618,21.932,22.281,-0.047,150.0,0.0
08-01-2024_13-18-07,160,0.031,0.0,-3.511,22.45,22.632,21.956,22.28,-0.095,150.0,0.0
08-01-2024_13-18-07,160,0.031,0.0,-3.511,22.457,22.626,21.966,22.283,-0.062,150.0,0.0
08-01-2024_13-18-07,161,0.031,0.0,-3.511,22.452,22.588,21.961,22.281,-0.087,150.0,0.0
08-01-2024_13-18-07,161,0.031,0.0,-3.511,22.445,22.593,21.973,22.281,-0.058,150.0,0.0
08-01-2024_13-18-08,161,0.031,0.0,-3.511,22.446,22.644,21.943,22.278,-0.089,150.0,0.0
08-01-2024_13-18-08,161,0.031,0.0,-3.511,22.46,22.579,21.966,22.277,-0.027,150.0,0.0
08-01-2024_13-18-08,162,0.031,0.0,-3.511,22.445,22.514,21.956,22.281,-0.035,150.0,0.0
08-01-2024_13-18-08,162,0.031,0.0,-3.511,22.445,22.55,21.968,22.279,-0.08,150.0,0.0
08-01-2024_13-18-09,162,0.031,0.0,-3.511,22.461,22.514,21.96,22.283,-0.079,150.0,0.0
08-01-2024_13-18-09,162,0.031,0.0,-3.511,22.447,22.563,21.945,22.276,-0.077,150.0,0.0
08-01-2024_13-18-09,163,0.031,0.0,-3.511,22.447,22.565,21.962,22.279,-0.065,150.0,0.0
08-01-2024_13-18-09,163,0.031,0.0,-3.511,22.459,22.652,21.966,22.277,-0.074,150.0,0.0
08-01-2024_13-18-10,163,0.031,0.0,-3.511,22.449,22.666,21.94,22.281,-0.044,150.0,0.0
08-01-2024_13-18-10,163,0.031,0.0,-3.511,22.456,22.59,21.979,22.278,-0.09,150.0,0.0
08-01-2024_13-18-10,164,0.031,0.0,-3.511,22.451,22.585,21.942,22.28,-0.033,150.0,0.0
08-01-2024_13-18-10,164,0.031,0.0,-3.511,22.467,22.571,21.978,22.278,-0.062,150.0,0.0
08-01-2024_13-18-11,164,0.031,0.0,-3.511,22.453,22.51,21.945,22.281,-0.072,150.0,0.0
08-01-2024_13-18-11,164,0.031,0.0,-3.511,22.453,22.572,21.952,22.283,-0.077,150.0,0.0
08-01-2024_13-18-11,165,0.031,0.0,-3.511,22.46,22.549,21.951,22.283,-0.049,150.0,0.0
08-01-2024_13-18-11,165,0.031,0.0,-3.511,22.459,22.576,21.951,22.28,-0.079,150.0,0.0
08-01-2024_13-18-12,165,0.031,0.0,-3.511,22.45,22.548,21.982,22.289,-0.081,150.0,0.0
08-01-2024_13-18-12,165,0.031,0.0,-3.511,22.457,22.593,21.955,22.279,-0.07,150.0,0.0
08-01-2024_13-18-12,166,0.031,0.0,-3.511,22.453,22.561,21.949,22.28,-0.061,150.0,0.0
08-01-2024_13-18-12,166,0.031,0.0,-3.511,22.458,22.533,21.956,22.282,-0.087,150.0,0.0
08-01-2024_13-18-13,166,0.031,0.0,-3.511,22.461,22.615,21.939,22.287,-0.079,150.0,0.0
08-01-2024_13-18-13,166,0.031,0.0,-3.511,22.454,22.545,21.952,22.285,-0.043,150.0,0.0
08-01-2024_13-18-13,167,0.031,0.0,-3.511,22.455,22.575,21.971,22.28,-0.066,150.0,0.0
08-01-2024_13-18-13,167,0.031,0.0,-3.511,22.454,22.515,21.96,22.281,-0.053,150.0,0.0
08-01-2024_13-18-14,167,0.031,0.0,-3.511,22.45,22.582,21.965,22.281,-0.046,150.0,0.0
08-01-2024_13-18-14,167,0.031,0.0,-3.511,22.456,22.569,21.953,22.284,-0.069,150.0,0.0
08-01-2024_13-18-14,168,0.031,0.0,-3.511,22.448,22.598,21.94,22.281,-0.05,150.0,0.0
08-01-2024_13-18-14,168,0.031,0.0,-3.511,22.463,22.676,21.942,22.278,-0.079,150.0,0.0
08-01-2024_13-18-15,168,0.031,0.0,-3.511,22.46,22.551,21.954,22.279,-0.074,150.0,0.0
08-01-2024_13-18-15,168,0.031,0.0,-3.511,22.456,22.544,21.975,22.285,-0.041,150.0,0.0
08-01-2024_13-18-15,169,0.031,0.0,-3.511,22.46,22.551,21.985,22.285,-0.05,150.0,0.0
08-01-2024_13-18-16,169,0.031,0.0,-3.511,22.459,22.505,21.949,22.283,-0.035,150.0,0.0
08-01-2024_13-18-16,169,0.031,0.0,-3.511,22.449,22.558,21.947,22.281,-0.083,150.0,0.0
08-01-2024_13-18-16,169,0.031,0.0,-3.511,22.45,22.602,21.946,22.283,-0.061,150.0,0.0
08-01-2024_13-18-16,170,0.031,0.0,-3.511,22.453,22.461,21.98,22.279,-0.099,150.0,0.0
08-01-2024_13-18-17,170,0.031,0.0,-3.511,22.449,22.561,21.949,22.277,-0.058,150.0,0.0
08-01-2024_13-18-17,170,0.031,0.0,-3.511,22.456,22.631,21.963,22.283,-0.07,150.0,0.0
08-01-2024_13-18-17,170,0.031,0.0,-3.511,22.452,22.539,21.965,22.282,-0.051,150.0,0.0
08-01-2024_13-18-17,171,0.031,0.0,-3.511,22.45,22.571,21.973,22.289,-0.053,150.0,0.0
08-01-2024_13-18-18,171,0.031,0.0,-3.511,22.45,22.631,21.947,22.284,-0.061,150.0,0.0
08-01-2024_13-18-18,171,0.031,0.0,-3.511,22.451,22.572,21.99,22.284,-0.039,150.0,0.0
08-01-2024_13-18-18,171,0.031,0.0,-3.511,22.444,22.552,21.958,22.281,-0.083,150.0,0.0
08-01-2024_13-18-18,172,0.031,0.0,-3.511,22.449,22.559,21.961,22.282,-0.06,150.0,0.0
08-01-2024_13-18-19,172,0.031,0.0,-3.511,22.443,22.609,21.958,22.284,-0.05,150.0,0.0
08-01-2024_13-18-19,172,0.031,0.0,-3.511,22.453,22.662,21.942,22.28,-0.097,150.0,0.0
08-01-2024_13-18-19,172,0.031,0.0,-3.511,22.465,22.585,21.977,22.28,-0.069,150.0,0.0
08-01-2024_13-18-19,173,0.031,0.0,-3.511,22.451,22.537,21.976,22.282,-0.083,150.0,0.0
08-01-2024_13-18-20,173,0.031,0.0,-3.511,22.44,22.541,21.952,22.285,-0.066,150.0,0.0
08-01-2024_13-18-20,173,0.031,0.0,-3.511,22.463,22.633,21.958,22.284,-0.088,150.0,0.0
08-01-2024_13-18-20,173,0.031,0.0,-3.511,22.451,22.574,21.959,22.278,-0.069,150.0,0.0
08-01-2024_13-18-20,174,0.031,0.0,-3.511,22.457,22.517,21.943,22.286,-0.056,150.0,0.0
08-01-2024_13-18-21,174,0.031,0.0,-3.511,22.458,22.54,21.955,22.276,-0.06,150.0,0.0
08-01-2024_13-18-21,174,0.031,0.0,-3.511,22.463,22.52,21.952,22.284,-0.031,150.0,0.0
08-01-2024_13-18-21,174,0.031,0.0,-3.511,22.453,22.563,21.972,22.28,-0.081,150.0,0.0
08-01-2024_13-18-21,175,0.031,0.0,-3.511,22.446,22.579,21.952,22.278,-0.071,150.0,0.0
08-01-2024_13-18-22,175,0.031,0.0,-3.511,22.451,22.569,21.944,22.279,-0.077,150.0,0.0
08-01-2024_13-18-22,175,0.031,0.0,-3.511,22.439,22.618,21.942,22.28,-0.078,150.0,0.0
08-01-2024_13-18-22,175,0.031,0.0,-3.511,22.448,22.565,21.963,22.279,-0.065,150.0,0.0
08-01-2024_13-18-22,176,0.031,0.0,-3.511,22.459,22.56,21.947,22.269,-0.062,150.0,0.0
08-01-2024_13-18-23,176,0.031,0.0,-3.511,22.449,22.612,21.964,22.268,-0.089,150.0,0.0
08-01-2024_13-18-23,176,0.031,0.0,-3.511,22.457,22.556,21.944,22.275,-0.092,150.0,0.0
08-01-2024_13-18-23,176,0.031,0.0,-3.511,22.448,22.553,21.949,22.269,-0.075,150.0,0.0
08-01-2024_13-18-23,177,0.031,0.0,-3.511,22.449,22.582,21.913,22.265,-0.106,150.0,0.0
08-01-2024_13-18-24,177,0.031,0.0,-3.511,22.447,22.622,21.936,22.266,-0.063,150.0,0.0
08-01-2024_13-18-24,177,0.031,0.0,-3.511,22.44,22.578,21.981,22.26,-0.079,150.0,0.0
08-01-2024_13-18-24,177,0.031,0.0,-3.511,22.446,22.538,21.947,22.264,-0.072,150.0,0.0
08-01-2024_13-18-24,178,0.031,0.0,-3.511,22.444,22.619,21.968,22.264,-0.066,150.0,0.0
08-01-2024_13-18-25,178,0.031,0.0,-3.511,22.449,22.635,21.963,22.27,-0.061,150.0,0.0
08-01-2024_13-18-25,178,0.031,0.0,-3.511,22.446,22.605,21.955,22.268,-0.042,150.0,0.0
08-01-2024_13-18-25,178,0.031,0.0,-3.511,22.45,22.596,21.973,22.268,-0.088,150.0,0.0
08-01-2024_13-18-25,179,0.031,0.0,-3.511,22.447,22.548,21.985,22.269,-0.071,150.0,0.0
08-01-2024_13-18-26,179,0.031,0.0,-3.511,22.446,22.603,21.953,22.271,-0.082,150.0,0.0
08-01-2024_13-18-26,179,0.031,0.0,-3.511,22.443,22.508,21.996,22.27,-0.046,150.0,0.0
08-01-2024_13-18-26,179,0.031,0.0,-3.511,22.457,22.56,21.981,22.272,-0.054,150.0,0.0
08-01-2024_13-18-26,180,0.031,0.0,-3.511,22.453,22.585,21.971,22.273,-0.06,150.0,0.0
08-01-2024_13-18-27,180,0.031,0.0,-3.511,22.436,22.503,21.968,22.274,-0.05,150.0,0.0
08-01-2024_13-18-27,180,0.031,0.0,-3.511,22.457,22.609,21.964,22.276,-0.046,150.0,0.0
08-01-2024_13-18-27,180,0.031,0.0,-3.511,22.437,22.636,21.926,22.276,-0.055,150.0,0.0
08-01-2024_13-18-27,181,0.031,0.0,-3.511,22.457,22.603,21.947,22.275,-0.055,150.0,0.0
08-01-2024_13-18-28,181,0.031,0.0,-3.511,22.452,22.555,21.962,22.282,-0.087,150.0,0.0
08-01-2024_13-18-28,181,0.031,0.0,-3.511,22.441,22.6,21.948,22.282,-0.09,150.0,0.0
08-01-2024_13-18-28,182,0.031,0.0,-3.511,22.446,22.519,21.986,22.285,-0.061,150.0,0.0
08-01-2024_13-18-28,182,0.031,0.0,-3.511,22.443,22.548,21.961,22.286,-0.055,150.0,0.0
08-01-2024_13-18-29,182,0.031,0.0,-3.511,22.449,22.604,21.942,22.285,-0.076,150.0,0.0
08-01-2024_13-18-29,182,0.031,0.0,-3.511,22.443,22.561,21.96,22.28,-0.08,150.0,0.0
08-01-2024_13-18-29,183,0.031,0.0,-3.511,22.442,22.571,21.946,22.281,-0.068,150.0,0.0
08-01-2024_13-18-29,183,0.031,0.0,-3.511,22.445,22.564,21.939,22.286,-0.081,150.0,0.0
08-01-2024_13-18-30,183,0.031,0.0,-3.511,22.45,22.578,21.97,22.288,-0.07,150.0,0.0
08-01-2024_13-18-30,183,0.031,0.0,-3.511,22.452,22.565,21.959,22.283,-0.05,150.0,0.0
08-01-2024_13-18-30,184,0.031,0.0,-3.511,22.451,22.602,21.968,22.285,-0.06,150.0,0.0
08-01-2024_13-18-30,184,0.031,0.0,-3.511,22.443,22.598,21.978,22.292,-0.071,150.0,0.0
08-01-2024_13-18-31,184,0.031,0.0,-3.511,22.435,22.554,21.964,22.287,-0.054,150.0,0.0
08-01-2024_13-18-31,184,0.031,0.0,-3.511,22.446,22.526,21.948,22.282,-0.053,150.0,0.0
08-01-2024_13-18-31,185,0.031,0.0,-3.511,22.456,22.5,21.957,22.286,-0.063,150.0,0.0
08-01-2024_13-18-31,185,0.031,0.0,-3.511,22.446,22.551,21.941,22.286,-0.035,150.0,0.0
08-01-2024_13-18-32,185,0.031,0.0,-3.511,22.442,22.607,21.954,22.278,-0.037,150.0,0.0
08-01-2024_13-18-32,185,0.031,0.0,-3.511,22.442,22.58,21.956,22.291,-0.052,150.0,0.0
08-01-2024_13-18-32,186,0.031,0.0,-3.511,22.445,22.62,21.953,22.282,-0.034,150.0,0.0
08-01-2024_13-18-32,186,0.031,0.0,-3.511,22.446,22.598,21.967,22.286,-0.054,150.0,0.0
08-01-2024_13-18-33,186,0.031,0.0,-3.511,22.446,22.63,21.968,22.286,-0.037,150.0,0.0
08-01-2024_13-18-33,186,0.031,0.0,-3.511,22.45,22.557,21.942,22.282,-0.062,150.0,0.0
08-01-2024_13-18-33,187,0.031,0.0,-3.511,22.454,22.576,21.952,22.286,-0.076,150.0,0.0
08-01-2024_13-18-33,187,0.031,0.0,-3.511,22.445,22.591,21.982,22.282,-0.051,150.0,0.0
08-01-2024_13-18-34,187,0.031,0.0,-3.511,22.442,22.585,21.967,22.281,-0.107,150.0,0.0
08-01-2024_13-18-34,187,0.031,0.0,-3.511,22.441,22.518,21.965,22.28,-0.038,150.0,0.0
08-01-2024_13-18-34,188,0.031,0.0,-3.511,22.453,22.585,21.985,22.28,-0.07,150.0,0.0
08-01-2024_13-18-34,188,0.031,0.0,-3.511,22.445,22.543,21.963,22.283,-0.048,150.0,0.0
08-01-2024_13-18-35,188,0.031,0.0,-3.511,22.443,22.589,21.942,22.283,-0.08,150.0,0.0
08-01-2024_13-18-35,188,0.031,0.0,-3.511,22.444,22.575,21.953,22.277,-0.03,150.0,0.0
08-01-2024_13-18-35,189,0.031,0.0,-3.511,22.437,22.603,21.974,22.287,-0.064,150.0,0.0
08-01-2024_13-18-35,189,0.03,0.0,-3.511,22.439,22.6,21.947,22.275,-0.081,150.0,0.0
08-01-2024_13-18-36,189,0.03,0.0,-3.511,22.449,22.627,21.949,22.28,-0.064,150.0,0.0
08-01-2024_13-18-36,189,0.031,0.0,-3.511,22.438,22.609,21.954,22.275,-0.038,150.0,0.0
08-01-2024_13-18-36,190,0.031,0.0,-3.511,22.443,22.598,21.966,22.282,-0.057,150.0,0.0
08-01-2024_13-18-36,190,0.031,0.0,-3.511,22.439,22.579,21.966,22.275,-0.035,150.0,0.0
08-01-2024_13-18-37,190,0.03,0.0,-3.511,22.44,22.607,21.947,22.279,-0.074,150.0,0.0
08-01-2024_13-18-37,190,0.03,0.0,-3.511,22.438,22.637,21.952,22.279,-0.06,150.0,0.0
08-01-2024_13-18-37,191,0.031,0.0,-3.511,22.445,22.569,21.951,22.275,-0.047,150.0,0.0
08-01-2024_13-18-37,191,0.03,0.0,-3.511,22.437,22.619,21.957,22.278,-0.101,150.0,0.0
08-01-2024_13-18-38,191,0.031,0.0,-3.511,22.447,22.616,21.951,22.276,-0.055,150.0,0.0
08-01-2024_13-18-38,191,0.031,0.0,-3.511,22.429,22.612,21.944,22.279,-0.041,150.0,0.0
08-01-2024_13-18-38,192,0.031,0.0,-3.511,22.438,22.588,21.967,22.275,-0.065,150.0,0.0
08-01-2024_13-18-38,192,0.031,0.0,-3.511,22.443,22.561,21.971,22.279,-0.045,150.0,0.0
08-01-2024_13-18-39,192,0.031,0.0,-3.511,22.445,22.593,21.947,22.278,-0.092,150.0,0.0
08-01-2024_13-18-39,192,0.031,0.0,-3.511,22.444,22.525,21.973,22.273,-0.068,150.0,0.0
08-01-2024_13-18-39,193,0.03,0.0,-3.511,22.441,22.625,21.957,22.277,-0.075,150.0,0.0
08-01-2024_13-18-39,193,0.03,0.0,-3.511,22.447,22.578,21.971,22.28,-0.065,150.0,0.0
08-01-2024_13-18-40,193,0.03,0.0,-3.511,22.448,22.565,21.971,22.284,-0.054,150.0,0.0
08-01-2024_13-18-40,193,0.03,0.0,-3.511,22.439,22.611,21.968,22.285,-0.071,150.0,0.0
08-01-2024_13-18-40,194,0.031,0.0,-3.511,22.438,22.565,21.967,22.289,-0.048,150.0,0.0
08-01-2024_13-18-40,194,0.03,0.0,-3.511,22.435,22.498,21.963,22.283,-0.052,150.0,0.0
08-01-2024_13-18-41,194,0.03,0.0,-3.511,22.439,22.56,21.955,22.284,-0.067,150.0,0.0
08-01-2024_13-18-41,194,0.03,0.0,-3.511,22.442,22.633,21.975,22.297,-0.061,150.0,0.0
08-01-2024_13-18-41,195,0.03,0.0,-3.511,22.434,22.591,21.953,22.297,-0.068,150.0,0.0
08-01-2024_13-18-41,195,0.03,0.0,-3.511,22.443,22.54,21.974,22.306,-0.074,150.0,0.0
08-01-2024_13-18-42,195,0.03,0.0,-3.511,22.443,22.585,21.969,22.31,-0.079,150.0,0.0
08-01-2024_13-18-42,195,0.03,0.0,-3.511,22.44,22.605,21.993,22.317,-0.078,150.0,0.0
08-01-2024_13-18-42,196,0.031,0.0,-3.511,22.426,22.61,21.958,22.318,-0.099,150.0,0.0
08-01-2024_13-18-42,196,0.031,0.0,-3.511,22.44,22.628,21.955,22.317,-0.075,150.0,0.0
08-01-2024_13-18-43,196,0.031,0.0,-3.511,22.435,22.633,21.961,22.322,-0.062,150.0,0.0
08-01-2024_13-18-43,196,0.031,0.0,-3.511,22.439,22.593,21.961,22.318,-0.044,150.0,0.0
08-01-2024_13-18-43,197,0.031,0.0,-3.511,22.441,22.691,21.937,22.323,-0.094,150.0,0.0
08-01-2024_13-18-43,197,0.031,0.0,-3.511,22.439,22.613,21.953,22.323,-0.068,150.0,0.0
08-01-2024_13-18-44,197,0.03,0.0,-3.511,22.445,22.613,21.957,22.335,-0.058,150.0,0.0
08-01-2024_13-18-44,197,0.03,0.0,-3.511,22.448,22.57,21.986,22.331,-0.075,150.0,0.0
08-01-2024_13-18-44,198,0.03,0.0,-3.511,22.446,22.598,21.985,22.341,-0.078,150.0,0.0
08-01-2024_13-18-44,198,0.03,0.0,-3.511,22.438,22.53,21.968,22.337,-0.068,150.0,0.0
08-01-2024_13-18-45,198,0.03,0.0,-3.511,22.433,22.527,21.961,22.333,-0.042,150.0,0.0
08-01-2024_13-18-45,198,0.03,0.0,-3.511,22.444,22.607,21.939,22.335,-0.074,150.0,0.0
08-01-2024_13-18-45,199,0.031,0.0,-3.511,22.445,22.61,21.969,22.334,-0.055,150.0,0.0
08-01-2024_13-18-45,199,0.031,0.0,-3.511,22.441,22.621,21.969,22.333,-0.076,150.0,0.0
08-01-2024_13-18-46,199,0.03,0.0,-3.511,22.447,22.555,21.946,22.331,-0.086,150.0,0.0
08-01-2024_13-18-46,199,0.03,0.0,-3.511,22.443,22.588,21.966,22.322,-0.08,150.0,0.0
08-01-2024_13-18-46,200,0.03,0.0,-3.511,22.449,22.557,21.96,22.325,-0.061,150.0,0.0
08-01-2024_13-18-46,200,0.03,0.0,-3.511,22.441,22.573,21.954,22.323,-0.071,150.0,0.0
08-01-2024_13-18-47,200,0.03,0.0,-3.511,22.441,22.669,21.956,22.321,-0.074,150.0,0.0
08-01-2024_13-18-47,200,0.031,0.0,-3.511,22.437,22.58,21.968,22.318,-0.06,150.0,0.0
08-01-2024_13-18-47,201,0.031,0.0,-3.511,22.444,22.627,21.96,22.312,-0.052,150.0,0.0
08-01-2024_13-18-47,201,0.031,0.0,-3.511,22.44,22.558,21.976,22.309,-0.08,150.0,0.0
08-01-2024_13-18-48,201,0.031,0.0,-3.511,22.439,22.612,21.978,22.304,-0.052,150.0,0.0
08-01-2024_13-18-48,201,0.031,0.0,-3.511,22.44,22.593,21.981,22.315,-0.061,150.0,0.0
08-01-2024_13-18-48,202,0.03,0.0,-3.511,22.423,22.605,21.952,22.307,-0.046,150.0,0.0
08-01-2024_13-18-48,202,0.03,0.0,-3.511,22.442,22.557,21.99,22.314,-0.056,150.0,0.0
08-01-2024_13-18-49,202,0.03,0.0,-3.511,22.435,22.623,21.978,22.311,-0.068,150.0,0.0
08-01-2024_13-18-49,202,0.03,0.0,-3.511,22.441,22.542,21.957,22.302,-0.072,150.0,0.0
08-01-2024_13-18-49,203,0.03,0.0,-3.511,22.443,22.549,21.992,22.3,-0.037,150.0,0.0
08-01-2024_13-18-49,203,0.03,0.0,-3.511,22.428,22.555,21.968,22.304,-0.074,150.0,0.0
08-01-2024_13-18-50,203,0.03,0.0,-3.511,22.431,22.499,21.951,22.303,-0.051,150.0,0.0
08-01-2024_13-18-50,203,0.03,0.0,-3.511,22.441,22.6,21.962,22.298,-0.065,150.0,0.0
08-01-2024_13-18-50,204,0.03,0.0,-3.511,22.434,22.57,21.945,22.3,-0.036,150.0,0.0
08-01-2024_13-18-50,204,0.03,0.0,-3.511,22.448,22.658,21.954,22.297,-0.061,150.0,0.0
08-01-2024_13-18-51,204,0.03,0.0,-3.511,22.433,22.619,21.942,22.29,-0.078,150.0,0.0
08-01-2024_13-18-51,204,0.03,0.0,-3.511,22.44,22.514,21.975,22.297,-0.034,150.0,0.0
08-01-2024_13-18-51,205,0.03,0.0,-3.511,22.437,22.578,21.973,22.291,-0.058,150.0,0.0
08-01-2024_13-18-51,205,0.031,0.0,-3.511,22.433,22.621,21.96,22.287,-0.078,150.0,0.0
08-01-2024_13-18-52,205,0.03,0.0,-3.511,22.443,22.563,21.983,22.282,-0.05,150.0,0.0
08-01-2024_13-18-52,205,0.031,0.0,-3.511,22.434,22.57,21.957,22.279,-0.047,150.0,0.0
08-01-2024_13-18-52,206,0.031,0.0,-3.511,22.426,22.625,21.929,22.285,-0.08,150.0,0.0
08-01-2024_13-18-52,206,0.031,0.0,-3.511,22.434,22.628,21.928,22.278,-0.071,150.0,0.0
08-01-2024_13-18-53,206,0.03,0.0,-3.511,22.441,22.568,21.978,22.267,-0.084,150.0,0.0
08-01-2024_13-18-53,206,0.03,0.0,-3.511,22.43,22.6,21.958,22.274,-0.045,150.0,0.0
08-01-2024_13-18-53,207,0.03,0.0,-3.511,22.434,22.629,21.961,22.267,-0.043,150.0,0.0
08-01-2024_13-18-53,207,0.03,0.0,-3.511,22.453,22.616,21.969,22.269,-0.059,150.0,0.0
08-01-2024_13-18-54,207,0.03,0.0,-3.511,22.44,22.663,21.935,22.259,-0.055,150.0,0.0
08-01-2024_13-18-54,207,0.03,0.0,-3.511,22.44,22.573,21.959,22.264,-0.057,150.0,0.0
08-01-2024_13-18-54,208,0.03,0.0,-3.511,22.44,22.643,21.972,22.255,-0.057,150.0,0.0
08-01-2024_13-18-54,208,0.03,0.0,-3.511,22.439,22.528,21.944,22.249,-0.046,150.0,0.0
08-01-2024_13-18-55,208,0.03,0.0,-3.511,22.436,22.631,21.929,22.247,-0.07,150.0,0.0
08-01-2024_13-18-55,208,0.03,0.0,-3.511,22.44,22.551,21.966,22.242,-0.031,150.0,0.0
08-01-2024_13-18-55,209,0.03,0.0,-3.511,22.438,22.587,21.979,22.245,-0.081,150.0,0.0
08-01-2024_13-18-55,209,0.03,0.0,-3.511,22.44,22.572,21.963,22.239,-0.095,150.0,0.0
08-01-2024_13-18-56,209,0.03,0.0,-3.511,22.433,22.626,21.974,22.236,-0.047,150.0,0.0
08-01-2024_13-18-56,209,0.03,0.0,-3.511,22.445,22.584,21.97,22.233,-0.053,150.0,0.0
08-01-2024_13-18-56,210,0.03,0.0,-3.511,22.437,22.605,21.941,22.233,-0.046,150.0,0.0
08-01-2024_13-18-56,210,0.031,0.0,-3.511,22.445,22.613,21.965,22.237,-0.069,150.0,0.0
08-01-2024_13-18-57,210,0.031,0.0,-3.511,22.437,22.66,21.961,22.229,-0.034,150.0,0.0
08-01-2024_13-18-57,210,0.031,0.0,-3.511,22.442,22.582,21.971,22.225,-0.079,150.0,0.0
08-01-2024_13-18-57,211,0.03,0.0,-3.511,22.446,22.581,21.954,22.224,-0.031,150.0,0.0
08-01-2024_13-18-57,211,0.03,0.0,-3.511,22.444,22.534,21.962,22.224,-0.077,150.0,0.0
08-01-2024_13-18-58,211,0.03,0.0,-3.511,22.439,22.583,21.943,22.218,-0.063,150.0,0.0
08-01-2024_13-18-58,211,0.03,0.0,-3.511,22.444,22.576,21.997,22.212,-0.081,150.0,0.0
08-01-2024_13-18-58,212,0.03,0.0,-3.511,22.44,22.613,21.95,22.216,-0.075,150.0,0.0
08-01-2024_13-18-58,212,0.03,0.0,-3.511,22.444,22.603,21.947,22.213,-0.045,150.0,0.0
08-01-2024_13-18-59,212,0.03,0.0,-3.511,22.45,22.566,22.001,22.211,-0.048,150.0,0.0
08-01-2024_13-18-59,212,0.03,0.0,-3.511,22.437,22.604,21.98,22.21,-0.053,150.0,0.0
08-01-2024_13-18-59,213,0.03,0.0,-3.511,22.445,22.57,21.961,22.202,-0.054,150.0,0.0
08-01-2024_13-18-59,213,0.03,0.0,-3.511,22.442,22.542,21.962,22.213,-0.068,150.0,0.0
08-01-2024_13-19-00,213,0.03,0.0,-3.511,22.439,22.608,21.962,22.203,-0.073,150.0,0.0
08-01-2024_13-19-00,213,0.03,0.0,-3.511,22.439,22.568,21.993,22.214,-0.047,150.0,0.0
08-01-2024_13-19-00,214,0.03,0.0,-3.511,22.434,22.702,21.971,22.213,-0.039,150.0,0.0
08-01-2024_13-19-00,214,0.031,0.0,-3.511,22.436,22.656,21.935,22.209,-0.071,150.0,0.0
08-01-2024_13-19-01,214,0.031,0.0,-3.511,22.436,22.558,21.944,22.204,-0.061,150.0,0.0
08-01-2024_13-19-01,214,0.031,0.0,-3.511,22.445,22.572,21.974,22.21,-0.061,150.0,0.0
08-01-2024_13-19-01,215,0.031,0.0,-3.511,22.446,22.563,21.971,22.209,-0.055,150.0,0.0
08-01-2024_13-19-01,215,0.031,0.0,-3.511,22.447,22.602,21.962,22.214,-0.017,150.0,0.0
08-01-2024_13-19-02,215,0.031,0.0,-3.511,22.455,22.543,21.977,22.211,-0.034,150.0,0.0
08-01-2024_13-19-02,215,0.03,0.0,-3.511,22.448,22.692,21.957,22.214,-0.01,150.0,0.0
08-01-2024_13-19-02,216,0.03,0.0,-3.511,22.445,22.577,21.969,22.204,-0.039,150.0,0.0
08-01-2024_13-19-02,216,0.03,0.0,-3.511,22.439,22.563,21.957,22.215,-0.055,150.0,0.0
08-01-2024_13-19-03,216,0.03,0.0,-3.511,22.461,22.546,21.966,22.209,-0.075,150.0,0.0
08-01-2024_13-19-03,216,0.03,0.0,-3.511,22.442,22.54,21.977,22.212,-0.059,150.0,0.0
08-01-2024_13-19-03,217,0.03,0.0,-3.511,22.444,22.623,21.962,22.211,-0.059,150.0,0.0
08-01-2024_13-19-03,217,0.03,0.0,-3.511,22.453,22.655,21.986,22.208,-0.072,150.0,0.0
08-01-2024_13-19-04,217,0.031,0.0,-3.511,22.444,22.533,21.972,22.209,-0.076,150.0,0.0
08-01-2024_13-19-04,217,0.031,0.0,-3.511,22.455,22.604,21.965,22.21,-0.024,150.0,0.0
