Date,Time,Biomass,Dissolved_oxygen,pH,T_heater,T_liquid,T_sensor,T_amb,Power,PWM_feed,PWM_heater
08-01-2024_13-15-40,13,0.031,0.0,-3.511,22.438,22.531,21.935,21.99,0.059,150.0,0.0
08-01-2024_13-15-40,13,0.031,0.0,-3.511,22.431,22.552,21.975,21.994,0.073,150.0,0.0
08-01-2024_13-15-40,14,0.031,0.0,-3.511,22.431,22.491,21.931,21.992,0.074,150.0,0.0
08-01-2024_13-15-41,14,0.031,0.0,-3.511,22.426,22.58,21.915,21.994,0.05,150.0,0.0
08-01-2024_13-15-41,14,0.031,0.0,-3.511,22.436,22.512,21.938,21.993,0.045,150.0,0.0
08-01-2024_13-15-41,14,0.031,0.0,-3.511,22.434,22.569,21.955,21.989,0.092,150.0,0.0
08-01-2024_13-15-41,15,0.031,0.0,-3.511,22.426,22.554,21.922,21.988,0.058,150.0,0.0
08-01-2024_13-15-42,15,0.031,0.0,-3.511,22.434,22.505,21.919,21.995,0.094,150.0,0.0
08-01-2024_13-15-42,15,0.031,0.0,-3.511,22.441,22.511,21.942,21.992,0.048,150.0,0.0
08-01-2024_13-15-42,15,0.031,0.0,-3.511,22.435,22.621,21.948,21.986,0.072,150.0,0.0
08-01-2024_13-15-42,16,0.031,0.0,-3.511,22.432,22.537,21.946,21.99,0.086,150.0,0.0
08-01-2024_13-15-43,16,0.031,0.0,-3.511,22.436,22.52,21.935,21.984,0.113,150.0,0.0
08-01-2024_13-15-43,16,0.031,0.0,-3.511,22.43,22.577,21.938,21.992,0.064,150.0,0.0
08-01-2024_13-15-43,16,0.031,0.0,-3.511,22.425,22.598,21.944,21.996,0.079,150.0,0.0
08-01-2024_13-15-43,17,0.031,0.0,-3.511,22.441,22.574,21.951,21.989,0.065,150.0,0.0
08-01-2024_13-15-44,17,0.031,0.0,-3.511,22.43,22.557,21.94,21.991,0.106,150.0,0.0
08-01-2024_13-15-44,17,0.031,0.0,-3.511,22.431,22.581,21.941,21.987,0.101,150.0,0.0
08-01-2024_13-15-44,17,0.031,0.0,-3.511,22.427,22.564,21.939,21.993,0.071,150.0,0.0
08-01-2024_13-15-44,18,0.031,0.0,-3.511,22.437,22.553,21.91,21.989,0.093,150.0,0.0
08-01-2024_13-15-45,18,0.031,0.0,-3.511,22.434,22.521,21.939,21.994,0.09,150.0,0.0
08-01-2024_13-15-45,18,0.031,0.0,-3.511,22.43,22.482,21.938,21.989,0.087,150.0,0.0
08-01-2024_13-15-45,19,0.031,0.0,-3.511,22.423,22.497,21.954,21.992,0.076,150.0,0.0
08-01-2024_13-15-45,19,0.031,0.0,-3.511,22.431,22.554,21.907,21.99,0.072,150.0,0.0
08-01-2024_13-15-46,19,0.031,0.0,-3.511,22.418,22.599,21.925,21.996,0.08,150.0,0.0
08-01-2024_13-15-46,19,0.031,0.0,-3.511,22.431,22.576,21.923,21.992,0.077,150.0,0.0
08-01-2024_13-15-46,20,0.031,0.0,-3.511,22.436,22.586,21.924,21.995,0.051,150.0,0.0
08-01-2024_13-15-46,20,0.031,0.0,-3.511,22.43,22.555,21.964,21.99,0.11,150.0,0.0
08-01-2024_13-15-47,20,0.032,0.0,-3.511,22.429,22.576,21.94,21.991,0.109,150.0,0.0
08-01-2024_13-15-47,20,0.031,0.0,-3.511,22.431,22.54,21.931,21.991,0.069,150.0,0.0
08-01-2024_13-15-47,21,0.031,0.0,-3.511,22.424,22.58,21.948,21.992,0.078,150.0,0.0
08-01-2024_13-15-47,21,0.031,0.0,-3.511,22.443,22.566,21.946,21.987,0.057,150.0,0.0
08-01-2024_13-15-48,21,0.031,0.0,-3.511,22.442,22.485,21.953,21.991,0.06,150.0,0.0
08-01-2024_13-15-48,21,0.031,0.0,-3.511,22.431,22.541,21.899,21.991,0.105,150.0,0.0
08-01-2024_13-15-48,22,0.031,0.0,-3.511,22.424,22.527,21.931,21.989,0.104,150.0,0.0
08-01-2024_13-15-48,22,0.031,0.0,-3.511,22.425,22.563,21.891,21.985,0.103,150.0,0.0
08-01-2024_13-15-49,22,0.031,0.0,-3.511,22.43,22.528,21.926,21.994,0.109,150.0,0.0
08-01-2024_13-15-49,22,0.031,0.0,-3.511,22.432,22.567,21.93,21.99,0.056,150.0,0.0
08-01-2024_13-15-49,23,0.031,0.0,-3.511,22.439,22.523,21.936,21.991,0.085,150.0,0.0
08-01-2024_13-15-49,23,0.031,0.0,-3.511,22.431,22.59,21.924,21.994,0.069,150.0,0.0
08-01-2024_13-15-50,23,0.031,0.0,-3.511,22.429,22.527,21.933,21.993,0.083,150.0,0.0
08-01-2024_13-15-50,23,0.031,0.0,-3.511,22.429,22.53,21.964,21.993,0.084,150.0,0.0
08-01-2024_13-15-50,24,0.031,0.0,-3.511,22.433,22.494,21.942,21.984,0.088,150.0,0.0
08-01-2024_13-15-50,24,0.031,0.0,-3.511,22.43,22.539,21.934,21.993,0.07,150.0,0.0
08-01-2024_13-15-51,24,0.031,0.0,-3.511,22.429,22.592,21.93,21.989,0.103,150.0,0.0
08-01-2024_13-15-51,24,0.031,0.0,-3.511,22.423,22.565,21.945,21.99,0.061,150.0,0.0
08-01-2024_13-15-51,25,0.031,0.0,-3.511,22.427,22.527,21.946,21.993,0.079,150.0,0.0
08-01-2024_13-15-51,25,0.031,0.0,-3.511,22.431,22.509,21.944,21.991,0.102,150.0,0.0
08-01-2024_13-15-52,25,0.031,0.0,-3.511,22.421,22.597,21.955,21.998,0.034,150.0,0.0
08-01-2024_13-15-52,25,0.03,0.0,-3.511,22.421,22.573,21.92,21.995,0.051,150.0,0.0
08-01-2024_13-15-52,26,0.03,0.0,-3.511,22.434,22.585,21.939,22.006,0.046,150.0,0.0
08-01-2024_13-15-52,26,0.03,0.0,-3.511,22.418,22.607,21.926,22.003,0.079,150.0,0.0
08-01-2024_13-15-53,26,0.031,0.0,-3.511,22.42,22.479,21.952,22.001,0.06,150.0,0.0
08-01-2024_13-15-53,26,0.03,0.0,-3.511,22.423,22.519,21.925,22.006,0.065,150.0,0.0
08-01-2024_13-15-53,27,0.03,0.0,-3.511,22.43,22.532,21.952,22.005,0.045,150.0,0.0
08-01-2024_13-15-53,27,0.03,0.0,-3.511,22.431,22.56,21.943,22.007,0.085,150.0,0.0
08-01-2024_13-15-54,27,0.03,0.0,-3.511,22.43,22.534,21.918,22.006,0.053,150.0,0.0
08-01-2024_13-15-54,27,0.03,0.0,-3.511,22.432,22.541,21.915,22.007,0.063,150.0,0.0
08-01-2024_13-15-54,28,0.03,0.0,-3.511,22.421,22.528,21.954,22.003,0.052,150.0,0.0
08-01-2024_13-15-54,28,0.031,0.0,-3.511,22.426,22.561,21.925,22.013,0.063,150.0,0.0
08-01-2024_13-15-55,28,0.031,0.0,-3.511,22.413,22.535,21.946,22.012,0.075,150.0,0.0
08-01-2024_13-15-55,28,0.031,0.0,-3.511,22.426,22.59,21.939,22.014,0.075,150.0,0.0
08-01-2024_13-15-55,29,0.031,0.0,-3.511,22.424,22.574,21.944,22.016,0.017,150.0,0.0
08-01-2024_13-15-55,29,0.031,0.0,-3.511,22.426,22.541,21.933,22.021,0.104,150.0,0.0
08-01-2024_13-15-56,29,0.031,0.0,-3.511,22.433,22.617,21.929,22.016,0.043,150.0,0.0
08-01-2024_13-15-56,29,0.031,0.0,-3.511,22.428,22.554,21.933,22.023,0.062,150.0,0.0
08-01-2024_13-15-56,30,0.031,0.0,-3.511,22.429,22.595,21.943,22.025,0.07,150.0,0.0
08-01-2024_13-15-56,30,0.031,0.0,-3.511,22.422,22.57,21.916,22.032,0.049,150.0,0.0
08-01-2024_13-15-57,30,0.031,0.0,-3.511,22.42,22.521,21.932,22.04,0.049,150.0,0.0
08-01-2024_13-15-57,30,0.031,0.0,-3.511,22.415,22.554,21.946,22.045,0.089,150.0,0.0
08-01-2024_13-15-57,31,0.031,0.0,-3.511,22.431,22.603,21.92,22.054,0.038,150.0,0.0
08-01-2024_13-15-57,31,0.031,0.0,-3.511,22.424,22.598,21.932,22.055,-0.058,150.0,0.0
08-01-2024_13-15-58,31,0.031,0.0,-3.511,22.408,22.515,21.939,22.052,-0.114,150.0,0.0
08-01-2024_13-15-58,31,0.031,0.0,-3.511,22.426,22.612,21.941,22.055,-0.038,150.0,0.0
08-01-2024_13-15-58,32,0.031,0.0,-3.511,22.432,22.539,21.932,22.061,-0.114,150.0,0.0
08-01-2024_13-15-58,32,0.031,0.0,-3.511,22.434,22.544,21.911,22.061,-0.075,150.0,0.0
08-01-2024_13-15-59,32,0.031,0.0,-3.511,22.416,22.575,21.949,22.066,-0.083,150.0,0.0
08-01-2024_13-15-59,32,0.031,0.0,-3.511,22.417,22.63,21.932,22.066,-0.053,150.0,0.0
